Standard,Subject,File Name,File Path,language
6,Science,fegp1dd.pdf,merged_pdfs\6\Science,n/a
6,Social Science,fees1dd.pdf,merged_pdfs\6\Social Science,n/a
7,English,An alien Hand Supplementry Reader.pdf,merged_pdfs\7\English,n/a
7,English,Honeycomb.pdf,merged_pdfs\7\English,n/a
7,Hindi,Durva.pdf,merged_pdfs\7\Hindi,n/a
7,Hindi,Mahabharat.pdf,merged_pdfs\7\Hindi,n/a
7,Hindi,Vasant.pdf,merged_pdfs\7\Hindi,n/a
7,Mathematics,Ganit.pdf,merged_pdfs\7\Mathematics,n/a
7,Mathematics,Hisaab(Urdu).pdf,merged_pdfs\7\Mathematics,n/a
7,Mathematics,Mathmatics.pdf,merged_pdfs\7\Mathematics,n/a
7,Sanskrit,Ruchira.pdf,merged_pdfs\7\Sanskrit,n/a
7,Science,Science(Urdu).pdf,merged_pdfs\7\Science,n/a
7,Science,Science.pdf,merged_pdfs\7\Science,n/a
7,Science,Vigyan.pdf,merged_pdfs\7\Science,n/a
7,Social Science,Hamara Paryavaran.pdf,merged_pdfs\7\Social Science,n/a
7,Social Science,Hamare Ateet-II.pdf,merged_pdfs\7\Social Science,n/a
7,Social Science,Hamare Maazi(Urdu).pdf,merged_pdfs\7\Social Science,n/a
7,Social Science,Hamare Mahol(Urdu)).pdf,merged_pdfs\7\Social Science,n/a
7,Social Science,Our Environment.pdf,merged_pdfs\7\Social Science,n/a
7,Social Science,Our Pasts-II.pdf,merged_pdfs\7\Social Science,n/a
7,Social Science,Samajik aur Rajniti Jeevan.pdf,merged_pdfs\7\Social Science,n/a
7,Social Science,Samajik Aur Siyasi Zindagi.pdf,merged_pdfs\7\Social Science,n/a
7,Social Science,Social and Political Life.pdf,merged_pdfs\7\Social Science,n/a
7,Urdu,Apni Zaban.pdf,merged_pdfs\7\Urdu,n/a
7,Urdu,Door - Pass.pdf,merged_pdfs\7\Urdu,n/a
7,Urdu,Jaan Pahechan.pdf,merged_pdfs\7\Urdu,n/a
7,Urdu,Urdu Guldasta-Suppl.pdf,merged_pdfs\7\Urdu,n/a
8,English,Honeydew.pdf,merged_pdfs\8\English,n/a
8,English,It So Happend.pdf,merged_pdfs\8\English,n/a
8,Hindi,Bharat Ki Khoj.pdf,merged_pdfs\8\Hindi,n/a
8,Hindi,Durva.pdf,merged_pdfs\8\Hindi,n/a
8,Hindi,Sanshipt Budhcharit.pdf,merged_pdfs\8\Hindi,n/a
8,Hindi,Vasant.pdf,merged_pdfs\8\Hindi,n/a
8,Mathematics,Ganit.pdf,merged_pdfs\8\Mathematics,n/a
8,Mathematics,Mathematics.pdf,merged_pdfs\8\Mathematics,n/a
8,Mathematics,Riyazi(Urdu).pdf,merged_pdfs\8\Mathematics,n/a
8,Sanskrit,Ruchira.pdf,merged_pdfs\8\Sanskrit,n/a
8,Science,Science(Urdu).pdf,merged_pdfs\8\Science,n/a
8,Science,Science.pdf,merged_pdfs\8\Science,n/a
8,Science,Vigyan.pdf,merged_pdfs\8\Science,n/a
8,Social Science,Hamare Atit-III (Itihas).pdf,merged_pdfs\8\Social Science,n/a
8,Social Science,Hamare Maazi (Urdu).pdf,merged_pdfs\8\Social Science,n/a
8,Social Science,Our-Pasts-III.pdf,merged_pdfs\8\Social Science,n/a
8,Social Science,Resource And Development(Geography).pdf,merged_pdfs\8\Social Science,n/a
8,Social Science,Samaji Aur Siyasi Zindagi(Urdu).pdf,merged_pdfs\8\Social Science,n/a
8,Social Science,Samajik Avam Rajnatik Jeevan.pdf,merged_pdfs\8\Social Science,n/a
8,Social Science,Sansadhan Avam Vikas(Bhugol).pdf,merged_pdfs\8\Social Science,n/a
8,Social Science,Social And Political Life.pdf,merged_pdfs\8\Social Science,n/a
8,Social Science,Wasayel aur Taraqqui(Urdu).pdf,merged_pdfs\8\Social Science,n/a
8,Urdu,Apni Zaban.pdf,merged_pdfs\8\Urdu,n/a
8,Urdu,Door-Pass.pdf,merged_pdfs\8\Urdu,n/a
8,Urdu,Jaan Pahechan.pdf,merged_pdfs\8\Urdu,n/a
8,Urdu,Urdu Guldasta (Supl).pdf,merged_pdfs\8\Urdu,n/a
9,English,Beehive.pdf,merged_pdfs\9\English,n/a
9,English,Moments Supplementary Reader.pdf,merged_pdfs\9\English,n/a
9,English,Words and Expressions  1.pdf,merged_pdfs\9\English,n/a
9,Health and Physical Education,Health and Physical Education.pdf,merged_pdfs\9\Health and Physical Education,n/a
9,Hindi,Kritika.pdf,merged_pdfs\9\Hindi,n/a
9,Hindi,Kshitij.pdf,merged_pdfs\9\Hindi,n/a
9,Hindi,Sanchayan.pdf,merged_pdfs\9\Hindi,n/a
9,Hindi,Sprash.pdf,merged_pdfs\9\Hindi,n/a
9,ICT,Information and Communication Technology.pdf,merged_pdfs\9\ICT,n/a
9,Mathematics,Ganit.pdf,merged_pdfs\9\Mathematics,n/a
9,Mathematics,Mathematics.pdf,merged_pdfs\9\Mathematics,n/a
9,Mathematics,Reyazi (Urdu).pdf,merged_pdfs\9\Mathematics,n/a
9,Sanskrit,Abhyaswaan Bhav.pdf,merged_pdfs\9\Sanskrit,n/a
9,Sanskrit,Shemushi Prathmo Bhag.pdf,merged_pdfs\9\Sanskrit,n/a
9,Sanskrit,Vyakaranavithi.pdf,merged_pdfs\9\Sanskrit,n/a
9,Science,Science (Urdu).pdf,merged_pdfs\9\Science,n/a
9,Science,Science.pdf,merged_pdfs\9\Science,n/a
9,Science,Vigyan.pdf,merged_pdfs\9\Science,n/a
9,Social Science,Aasri Hindustan (Urdu).pdf,merged_pdfs\9\Social Science,n/a
9,Social Science,Arthashastra.pdf,merged_pdfs\9\Social Science,n/a
9,Social Science,Bharat Aur Samkalin Vishwa-I.pdf,merged_pdfs\9\Social Science,n/a
9,Social Science,Contemporary India.pdf,merged_pdfs\9\Social Science,n/a
9,Social Science,Democratic Politics.pdf,merged_pdfs\9\Social Science,n/a
9,Social Science,Economics.pdf,merged_pdfs\9\Social Science,n/a
9,Social Science,Hindustan Aur Asri Dunia-I(Urdu).pdf,merged_pdfs\9\Social Science,n/a
9,Social Science,India and the Contemporary World-I.pdf,merged_pdfs\9\Social Science,n/a
9,Social Science,Jamhuri Syasat(Urdu).pdf,merged_pdfs\9\Social Science,n/a
9,Social Science,Loktantrik Rajniti.pdf,merged_pdfs\9\Social Science,n/a
9,Social Science,Mashiyat (Urdu).pdf,merged_pdfs\9\Social Science,n/a
9,Social Science,Samkalin Bharat.pdf,merged_pdfs\9\Social Science,n/a
9,Urdu,Door Pass.pdf,merged_pdfs\9\Urdu,n/a
9,Urdu,Gulzare-e-urdu.pdf,merged_pdfs\9\Urdu,n/a
9,Urdu,Jaan Pahechan.pdf,merged_pdfs\9\Urdu,n/a
9,Urdu,Nawa-e-urdu.pdf,merged_pdfs\9\Urdu,n/a
9,Urdu,Sab Rang.pdf,merged_pdfs\9\Urdu,n/a
9,Urdu,Urdu ki Adabi Asnaf.pdf,merged_pdfs\9\Urdu,n/a
10,English,First Flight.pdf,merged_pdfs\10\English,n/a
10,English,Foot Prints Without feet Supp.pdf,merged_pdfs\10\English,n/a
10,English,Words and Expressions  2.pdf,merged_pdfs\10\English,n/a
10,Health and Physical Education,Health and Physical Education.pdf,merged_pdfs\10\Health and Physical Education,n/a
10,Hindi,Kritika.pdf,merged_pdfs\10\Hindi,n/a
10,Hindi,Kshitij-2.pdf,merged_pdfs\10\Hindi,n/a
10,Hindi,Sanchayan Bhag-2.pdf,merged_pdfs\10\Hindi,n/a
10,Hindi,Sparsh.pdf,merged_pdfs\10\Hindi,n/a
10,Mathematics,Ganit.pdf,merged_pdfs\10\Mathematics,n/a
10,Mathematics,Mathematics.pdf,merged_pdfs\10\Mathematics,n/a
10,Mathematics,Riyazi.pdf,merged_pdfs\10\Mathematics,n/a
10,Sanskrit,Abhyaswaan Bhav-II.pdf,merged_pdfs\10\Sanskrit,n/a
10,Sanskrit,Shemushi.pdf,merged_pdfs\10\Sanskrit,n/a
10,Sanskrit,Vyakaranavithi.pdf,merged_pdfs\10\Sanskrit,n/a
10,Science,Science(Urdu).pdf,merged_pdfs\10\Science,n/a
10,Science,Science.pdf,merged_pdfs\10\Science,n/a
10,Science,Vigyan.pdf,merged_pdfs\10\Science,n/a
10,Social Science,Aasri Hindustan-II.pdf,merged_pdfs\10\Social Science,n/a
10,Social Science,Arthik Vikas ki Samajh.pdf,merged_pdfs\10\Social Science,n/a
10,Social Science,Bharat Aur Samakalin Vishav-2.pdf,merged_pdfs\10\Social Science,n/a
10,Social Science,Contemporary India.pdf,merged_pdfs\10\Social Science,n/a
10,Social Science,Democratic Politics.pdf,merged_pdfs\10\Social Science,n/a
10,Social Science,Hindustan Aur Asri Duniya.pdf,merged_pdfs\10\Social Science,n/a
10,Social Science,India and the Contemporary World-II.pdf,merged_pdfs\10\Social Science,n/a
10,Social Science,Jamhuri Siyasat-II.pdf,merged_pdfs\10\Social Science,n/a
10,Social Science,Loktantrik Rajniti.pdf,merged_pdfs\10\Social Science,n/a
10,Social Science,Maashi Taraqqui Ki Samajh.pdf,merged_pdfs\10\Social Science,n/a
10,Social Science,Samkalin Bharat.pdf,merged_pdfs\10\Social Science,n/a
10,Social Science,Understanding Economic Development.pdf,merged_pdfs\10\Social Science,n/a
10,Urdu,Door-Paas.pdf,merged_pdfs\10\Urdu,n/a
10,Urdu,Gulzar-e-Urdu.pdf,merged_pdfs\10\Urdu,n/a
10,Urdu,Jaan Pahechan.pdf,merged_pdfs\10\Urdu,n/a
10,Urdu,Nawa-e-Urdu.pdf,merged_pdfs\10\Urdu,n/a
10,Urdu,Sab Rang.pdf,merged_pdfs\10\Urdu,n/a
11,Accountancy,Accountancy-II.pdf,merged_pdfs\11\Accountancy,n/a
11,Accountancy,Financial Accounting-I.pdf,merged_pdfs\11\Accountancy,n/a
11,Accountancy,Khatadari-I(Urdu).pdf,merged_pdfs\11\Accountancy,n/a
11,Accountancy,Khatadari-II(Urdu).pdf,merged_pdfs\11\Accountancy,n/a
11,Accountancy,Lekhashastra-I.pdf,merged_pdfs\11\Accountancy,n/a
11,Accountancy,Lekhashastra-II.pdf,merged_pdfs\11\Accountancy,n/a
11,Biology,Biology.pdf,merged_pdfs\11\Biology,n/a
11,Biology,Hayatiyaat.pdf,merged_pdfs\11\Biology,n/a
11,Biology,Jeev Vigyan.pdf,merged_pdfs\11\Biology,n/a
11,Biotechnology,Biotechnology.pdf,merged_pdfs\11\Biotechnology,n/a
11,Business Studies,Business Studies.pdf,merged_pdfs\11\Business Studies,n/a
11,Business Studies,Karobari Mutalah I.pdf,merged_pdfs\11\Business Studies,n/a
11,Business Studies,Vyavsay Adhyanan.pdf,merged_pdfs\11\Business Studies,n/a
11,Chemistry,Chemistry Part II.pdf,merged_pdfs\11\Chemistry,n/a
11,Chemistry,Chemistry Part-I.pdf,merged_pdfs\11\Chemistry,n/a
11,Chemistry,Keemiya I.pdf,merged_pdfs\11\Chemistry,n/a
11,Chemistry,Keemiya II.pdf,merged_pdfs\11\Chemistry,n/a
11,Chemistry,Rasayan Vigyan bhag-I.pdf,merged_pdfs\11\Chemistry,n/a
11,Chemistry,Rasayan Vigyan bhag-II.pdf,merged_pdfs\11\Chemistry,n/a
11,Computer Science,Computer Science.pdf,merged_pdfs\11\Computer Science,n/a
11,Computers and Communication Technology,Computer Aur Muwaslati Technology I.pdf,merged_pdfs\11\Computers and Communication Technology,n/a
11,Computers and Communication Technology,Computer Aur Muwaslati Technology II.pdf,merged_pdfs\11\Computers and Communication Technology,n/a
11,Computers and Communication Technology,Computer aur Sanchar Prodhogiki Part-I.pdf,merged_pdfs\11\Computers and Communication Technology,n/a
11,Computers and Communication Technology,Computer aur Sanchar Prodhogiki Part-II.pdf,merged_pdfs\11\Computers and Communication Technology,n/a
11,Creative Writing and Translation,Srijan.pdf,merged_pdfs\11\Creative Writing and Translation,n/a
11,Creative Writing and Translation,Takhleequi Jauhar.pdf,merged_pdfs\11\Creative Writing and Translation,n/a
11,Economics,Bhartiya Airthryavstha Ka Vikas.pdf,merged_pdfs\11\Economics,n/a
11,Economics,Hindustan Ki Moaashi Tarraqqi(Urdu).pdf,merged_pdfs\11\Economics,n/a
11,Economics,Indian Economic Development.pdf,merged_pdfs\11\Economics,n/a
11,Economics,Sankhyiki.pdf,merged_pdfs\11\Economics,n/a
11,Economics,Shumariyaat Bar-e-Mushiyat(Urdu).pdf,merged_pdfs\11\Economics,n/a
11,Economics,Statistics for Economics.pdf,merged_pdfs\11\Economics,n/a
11,English,Hornbill.pdf,merged_pdfs\11\English,n/a
11,English,Snapshots Suppl.pdf,merged_pdfs\11\English,n/a
11,English,Woven Words.pdf,merged_pdfs\11\English,n/a
11,Fine Art,An Introduction to Indian Art Part-I.pdf,merged_pdfs\11\Fine Art,n/a
11,Fine Art,Bhartiya Kala ka parichay.pdf,merged_pdfs\11\Fine Art,n/a
11,Geography,Bhart Bhautik Paryabaran.pdf,merged_pdfs\11\Geography,n/a
11,Geography,Bhautique Bhugol ke Mool Sidhant.pdf,merged_pdfs\11\Geography,n/a
11,Geography,Bhugol Main Prayogatmak Karya.pdf,merged_pdfs\11\Geography,n/a
11,Geography,Fundamental of Physical Geography.pdf,merged_pdfs\11\Geography,n/a
11,Geography,Hindustan Tabi'i Mahaul (Urdu).pdf,merged_pdfs\11\Geography,n/a
11,Geography,India Physical Environment.pdf,merged_pdfs\11\Geography,n/a
11,Geography,Jughrafia Mein Aamli Kam (Urdu).pdf,merged_pdfs\11\Geography,n/a
11,Geography,Pratical Work in Geography.pdf,merged_pdfs\11\Geography,n/a
11,Geography,Tabi'i Jughraiya Ka Mubadiyat (Urdu).pdf,merged_pdfs\11\Geography,n/a
11,Graphics design,graphic design ek kahani.pdf,merged_pdfs\11\Graphics design,n/a
11,Health and Physical Education,Health and Physical Education.pdf,merged_pdfs\11\Health and Physical Education,n/a
11,Heritage Crafts,Hindustan me Dastkari Ki Riwayat.pdf,merged_pdfs\11\Heritage Crafts,n/a
11,Hindi,Antra.pdf,merged_pdfs\11\Hindi,n/a
11,Hindi,Antral.pdf,merged_pdfs\11\Hindi,n/a
11,Hindi,Aroh.pdf,merged_pdfs\11\Hindi,n/a
11,Hindi,Vitan.pdf,merged_pdfs\11\Hindi,n/a
11,History,Tareekh-e-Alam per Mabni Mauzuaat Part I.pdf,merged_pdfs\11\History,n/a
11,History,Themes in World History.pdf,merged_pdfs\11\History,n/a
11,History,Vishwa Itihas Ke Kuch Vishay.pdf,merged_pdfs\11\History,n/a
11,Home Science,Human Ecology and Family Sciences Part I.pdf,merged_pdfs\11\Home Science,n/a
11,Home Science,Human Ecology and Family Sciences Part II.pdf,merged_pdfs\11\Home Science,n/a
11,Home Science,Insani Mahauliyat aur Uloom e Khandandari Part-II.pdf,merged_pdfs\11\Home Science,n/a
11,Home Science,Insani Mahauliyat aur Uloom e Khandandari-I.pdf,merged_pdfs\11\Home Science,n/a
11,Home Science,Manav Paristhitiki evm pariwar vigyan Bhag-I.pdf,merged_pdfs\11\Home Science,n/a
11,Home Science,Manav Paristhitiki evm pariwar vigyan Bhag-II.pdf,merged_pdfs\11\Home Science,n/a
11,Informatics Practices,Informatics Practices.pdf,merged_pdfs\11\Informatics Practices,n/a
11,Knowledge Traditions Practices of India,Knowledge Traditions Practices of India.pdf,merged_pdfs\11\Knowledge Traditions Practices of India,n/a
11,Mathematics,Ganit.pdf,merged_pdfs\11\Mathematics,n/a
11,Mathematics,Mathematics.pdf,merged_pdfs\11\Mathematics,n/a
11,Mathematics,Riyazi I.pdf,merged_pdfs\11\Mathematics,n/a
11,Physics,Bhautiki-I.pdf,merged_pdfs\11\Physics,n/a
11,Physics,Bhautiki-II.pdf,merged_pdfs\11\Physics,n/a
11,Physics,Physics Part-I.pdf,merged_pdfs\11\Physics,n/a
11,Physics,Physics Part-II.pdf,merged_pdfs\11\Physics,n/a
11,Physics,Tabiyaat-I.pdf,merged_pdfs\11\Physics,n/a
11,Physics,Tabiyaat-II.pdf,merged_pdfs\11\Physics,n/a
11,Political Science,Bharat ka Samvidhan Sidhant aur Vyavhar.pdf,merged_pdfs\11\Political Science,n/a
11,Political Science,Hindustani Aain aur Kaam.pdf,merged_pdfs\11\Political Science,n/a
11,Political Science,India Constitution at Work.pdf,merged_pdfs\11\Political Science,n/a
11,Political Science,Political Theory.pdf,merged_pdfs\11\Political Science,n/a
11,Political Science,Raajneeti Sidhant.pdf,merged_pdfs\11\Political Science,n/a
11,Political Science,Siyasi Nazaria.pdf,merged_pdfs\11\Political Science,n/a
11,Psychology,Introduction to Psychology.pdf,merged_pdfs\11\Psychology,n/a
11,Psychology,Manovigyan.pdf,merged_pdfs\11\Psychology,n/a
11,Psychology,Nafsiyaat.pdf,merged_pdfs\11\Psychology,n/a
11,Sangeet,Hindustani Sangeet Gayan Evam Vadan.pdf,merged_pdfs\11\Sangeet,n/a
11,Sangeet,Tabla evam Pakhawaj.pdf,merged_pdfs\11\Sangeet,n/a
11,Sanskrit,Bhaswati.pdf,merged_pdfs\11\Sanskrit,n/a
11,Sanskrit,Shashwati.pdf,merged_pdfs\11\Sanskrit,n/a
11,Sociology,Introducing Sociology.pdf,merged_pdfs\11\Sociology,n/a
11,Sociology,Mutala-e-Muashira.pdf,merged_pdfs\11\Sociology,n/a
11,Sociology,Samaj ka Bodh.pdf,merged_pdfs\11\Sociology,n/a
11,Sociology,Samaj Shastra Parichay-I.pdf,merged_pdfs\11\Sociology,n/a
11,Sociology,Samajiyaat Ka Tarf.pdf,merged_pdfs\11\Sociology,n/a
11,Sociology,Understanding Society.pdf,merged_pdfs\11\Sociology,n/a
11,Urdu,Dhanak.pdf,merged_pdfs\11\Urdu,n/a
11,Urdu,Gulistan e Adab.pdf,merged_pdfs\11\Urdu,n/a
11,Urdu,Khyabane Urdu.pdf,merged_pdfs\11\Urdu,n/a
11,Urdu,Nai Awaz.pdf,merged_pdfs\11\Urdu,n/a
12,Accountancy,Accountancy Part-II.pdf,merged_pdfs\12\Accountancy,n/a
12,Accountancy,Accountancy-I.pdf,merged_pdfs\12\Accountancy,n/a
12,Accountancy,Computerised Accounting System.pdf,merged_pdfs\12\Accountancy,n/a
12,Accountancy,Khatadari-I(Urdu).pdf,merged_pdfs\12\Accountancy,n/a
12,Accountancy,Khatadari-II(Urdu).pdf,merged_pdfs\12\Accountancy,n/a
12,Accountancy,Lekhashastra Part-I.pdf,merged_pdfs\12\Accountancy,n/a
12,Accountancy,Lekhashastra Part-II.pdf,merged_pdfs\12\Accountancy,n/a
12,Biology,Biology.pdf,merged_pdfs\12\Biology,n/a
12,Biology,Hayatiyaat.pdf,merged_pdfs\12\Biology,n/a
12,Biology,Jeev Vigyan.pdf,merged_pdfs\12\Biology,n/a
12,Business Studies,Business Studies-I.pdf,merged_pdfs\12\Business Studies,n/a
12,Business Studies,Business Studies-II.pdf,merged_pdfs\12\Business Studies,n/a
12,Business Studies,Karobari Uloom I(Urdu).pdf,merged_pdfs\12\Business Studies,n/a
12,Business Studies,Karobari Uloom II(Urdu).pdf,merged_pdfs\12\Business Studies,n/a
12,Business Studies,Vyavasai Adhyan-I.pdf,merged_pdfs\12\Business Studies,n/a
12,Business Studies,Vyavasai Adhyan-II.pdf,merged_pdfs\12\Business Studies,n/a
12,Chemistry,Chemistry-I.pdf,merged_pdfs\12\Chemistry,n/a
12,Chemistry,Chemistry-II.pdf,merged_pdfs\12\Chemistry,n/a
12,Chemistry,Keemiya-I.pdf,merged_pdfs\12\Chemistry,n/a
12,Chemistry,Keemiya-II.pdf,merged_pdfs\12\Chemistry,n/a
12,Chemistry,Rasayan vigyan bhag I.pdf,merged_pdfs\12\Chemistry,n/a
12,Chemistry,Rasayan vigyan bhag II.pdf,merged_pdfs\12\Chemistry,n/a
12,Computer Science,Computer Science.pdf,merged_pdfs\12\Computer Science,n/a
12,Creative Writing & Translation,Srijan-II.pdf,merged_pdfs\12\Creative Writing & Translation,n/a
12,Creative Writing & Translation,Takhleequi Jauhar.pdf,merged_pdfs\12\Creative Writing & Translation,n/a
12,Economics,Introductory Macroeconomics.pdf,merged_pdfs\12\Economics,n/a
12,Economics,Introductory Microeconomics.pdf,merged_pdfs\12\Economics,n/a
12,Economics,Juzvi Maashiyat ka Taruf(Urdu).pdf,merged_pdfs\12\Economics,n/a
12,Economics,Kulli Maashiyat Ka Taruf(Urdu).pdf,merged_pdfs\12\Economics,n/a
12,Economics,Samashty Arthshastra Ek Parichay.pdf,merged_pdfs\12\Economics,n/a
12,Economics,Vyashthi Arthshasrta.pdf,merged_pdfs\12\Economics,n/a
12,English,Flamingo.pdf,merged_pdfs\12\English,n/a
12,English,Kaliedoscope.pdf,merged_pdfs\12\English,n/a
12,English,Vistas.pdf,merged_pdfs\12\English,n/a
12,Fine Art,An Introduction to Indian Art Part-II.pdf,merged_pdfs\12\Fine Art,n/a
12,Fine Art,Bhartiya Kala ka Itihaas Bhag 2.pdf,merged_pdfs\12\Fine Art,n/a
12,Geography,Bharat log aur arthvyasastha(Bhugol).pdf,merged_pdfs\12\Geography,n/a
12,Geography,Bhugol main peryojnatmak pryogatmak karye.pdf,merged_pdfs\12\Geography,n/a
12,Geography,Fundamentals of Human Geography.pdf,merged_pdfs\12\Geography,n/a
12,Geography,Hindustan Awam Aur Maishat(Urdu).pdf,merged_pdfs\12\Geography,n/a
12,Geography,India -People And Economy.pdf,merged_pdfs\12\Geography,n/a
12,Geography,Insani Jughrafia Ke Buniyadi Usool(Urdu).pdf,merged_pdfs\12\Geography,n/a
12,Geography,Jughrafia Mein Aamli Kam(Urdu).pdf,merged_pdfs\12\Geography,n/a
12,Geography,Manav Bhugol Ke Mool Sidhant.pdf,merged_pdfs\12\Geography,n/a
12,Geography,Practical Work in Geography Part II.pdf,merged_pdfs\12\Geography,n/a
12,Heritage Crafts,Bharatiya Hastkla Ki Paramparayen.pdf,merged_pdfs\12\Heritage Crafts,n/a
12,Heritage Crafts,Craft Tradition of India.pdf,merged_pdfs\12\Heritage Crafts,n/a
12,Heritage Crafts,Hindustan me Dastkari Ki Riwayat.pdf,merged_pdfs\12\Heritage Crafts,n/a
12,Hindi,Antra.pdf,merged_pdfs\12\Hindi,n/a
12,Hindi,Antral Bhag 2.pdf,merged_pdfs\12\Hindi,n/a
12,Hindi,Aroh.pdf,merged_pdfs\12\Hindi,n/a
12,Hindi,Vitan.pdf,merged_pdfs\12\Hindi,n/a
12,History,Bharatiya Itihas ke kuchh Vishay-I.pdf,merged_pdfs\12\History,n/a
12,History,Bharatiya Itihas ke kuchh Vishay-II.pdf,merged_pdfs\12\History,n/a
12,History,Bharatiya Itihas ke kuchh Vishay-III.pdf,merged_pdfs\12\History,n/a
12,History,Tareekh-e-Hind ke Mauzuaat-I(Urdu).pdf,merged_pdfs\12\History,n/a
12,History,Tareekh-e-Hind ke Mauzuaat-II(Urdu).pdf,merged_pdfs\12\History,n/a
12,History,Tareekh-e-Hind ke Mauzuaat-III(Urdu).pdf,merged_pdfs\12\History,n/a
12,History,Themes in Indian History-I.pdf,merged_pdfs\12\History,n/a
12,History,Themes in Indian History-II.pdf,merged_pdfs\12\History,n/a
12,History,Themes in Indian History-III.pdf,merged_pdfs\12\History,n/a
12,Home Science,Human Ecology and Family Sciences Part I.pdf,merged_pdfs\12\Home Science,n/a
12,Home Science,Human Ecology and Family Sciences Part II.pdf,merged_pdfs\12\Home Science,n/a
12,Home Science,Manav Paristhitik avam Parivar Vigyan Bhag 1.pdf,merged_pdfs\12\Home Science,n/a
12,Home Science,Manav Paristhitiki avam Parivar Vigyan Bhag 2.pdf,merged_pdfs\12\Home Science,n/a
12,Informatics Practices,Informatics Practices.pdf,merged_pdfs\12\Informatics Practices,n/a
12,Mathematics,Ganit-I.pdf,merged_pdfs\12\Mathematics,n/a
12,Mathematics,Ganit-II.pdf,merged_pdfs\12\Mathematics,n/a
12,Mathematics,Mathematics Part-I.pdf,merged_pdfs\12\Mathematics,n/a
12,Mathematics,Mathematics Part-II.pdf,merged_pdfs\12\Mathematics,n/a
12,Mathematics,Riyazi-I.pdf,merged_pdfs\12\Mathematics,n/a
12,Mathematics,Riyazi-II.pdf,merged_pdfs\12\Mathematics,n/a
12,New Age Graphics Design,New Age Graphics Design.pdf,merged_pdfs\12\New Age Graphics Design,n/a
12,Physics,Bhautiki-I.pdf,merged_pdfs\12\Physics,n/a
12,Physics,Bhautiki-II.pdf,merged_pdfs\12\Physics,n/a
12,Physics,Physics Part-I.pdf,merged_pdfs\12\Physics,n/a
12,Physics,Physics Part-II.pdf,merged_pdfs\12\Physics,n/a
12,Physics,Tabiyaat-I.pdf,merged_pdfs\12\Physics,n/a
12,Physics,Tabiyaat-II.pdf,merged_pdfs\12\Physics,n/a
12,Political Science,Aasri Alami Siyasat(Urdu).pdf,merged_pdfs\12\Political Science,n/a
12,Political Science,Azadi Ke Baad Hindustan Ki Siyasat(Urdu).pdf,merged_pdfs\12\Political Science,n/a
12,Political Science,Contemporary World Politics.pdf,merged_pdfs\12\Political Science,n/a
12,Political Science,Politics in India Since Independence.pdf,merged_pdfs\12\Political Science,n/a
12,Political Science,Samkalin Vishwa Rajniti.pdf,merged_pdfs\12\Political Science,n/a
12,Political Science,Swatantra Bharat Mein Rajniti-II.pdf,merged_pdfs\12\Political Science,n/a
12,Psychology,Manovigyan.pdf,merged_pdfs\12\Psychology,n/a
12,Psychology,Nafsiat(Urdu).pdf,merged_pdfs\12\Psychology,n/a
12,Psychology,Psychology.pdf,merged_pdfs\12\Psychology,n/a
12,Sanskrit,Bhaswati.pdf,merged_pdfs\12\Sanskrit,n/a
